rank,name,age,country,track,date,minutes,seconds
862,Janice Heimberger                ,LB2,GER,Inzell (GER)             ,2-Nov-19,2,1595
862,Thirza Koers                     ,LB2,NED,Heerenveen (NED)         ,1-Mar-20,2,1595
864,Rosan van Koppen                 ,LA1,NED,Erfurt (GER)             ,25-Jan-20,2,1598
865,Mariya Agapitova                 ,LB2,RUS,Kolomna (RUS)            ,21-Feb-20,2,1599
866,Rixt Tol                         ,LB2,NED,Heerenveen (NED)         ,17-Nov-19,2,1601
867,Yuuki Shimizu (20130005)         ,L? ,JPN,Tomakomai (JPN)          ,30-Nov-19,2,1603
868,Sofiya Shepel                    ,LA2,RUS,Moscow (RUS)             ,5-Nov-19,2,1604
868,Mariya Forostyanaya              ,LB2,RUS,Kolomna (RUS)            ,7-Mar-20,2,1604
870,Aaralyn McGill                   ,LC2,CAN,Calgary (CAN)            ,3-Jan-20,2,1605
871,Sofie Ulset                      ,LB1,NOR,Heerenveen (NED)         ,29-Feb-20,2,1607
872,Ekaterina Konkina                ,LC1,RUS,Kolomna (RUS)            ,24-Feb-20,2,1608
873,Olina Norheim                    ,LC2,NOR,Heerenveen (NED)         ,29-Feb-20,2,1611
874,Mayke Vriesinga                  ,LC1,NED,Heerenveen (NED)         ,16-Dec-19,2,1612
875,Molly Johnson                    ,LA2,CAN,Calgary (CAN)            ,21-Sep-19,2,1616
876,Feifei Qin                       ,LB2,CHN,Hailar (CHN)             ,27-Oct-19,2,1617
876,Ria Schilder                     ,LA1,NED,Hoorn (NED)              ,12-Jan-20,2,1617
878,Dongyue Huang                    ,LB1,CHN,Hailar (CHN)             ,27-Oct-19,2,1619
879,Maartje Geuzebroek               ,LA2,NED,Calgary (CAN)            ,3-Jan-20,2,1621
880,Qi Shao                          ,LB1,CHN,Changchun (CHN)          ,22-Sep-19,2,1622
880,Rena Takebayashi                 ,LC2,JPN,Obihiro (JPN)            ,12-Oct-19,2,1622
880,Yuri Suzuki                      ,L? ,JPN,Nagano (JPN)             ,3-Feb-20,2,1622
883,Linlin Wang                      ,LB2,CHN,Hailar (CHN)             ,27-Oct-19,2,1627
884,Baoyi Wang                       ,LB2,CHN,Hailar (CHN)             ,27-Oct-19,2,1629
884,Elizaveta Klishina               ,LC2,RUS,Kolomna (RUS)            ,14-Dec-19,2,1629
886,Na-Yoon Kang                     ,LC2,KOR,Seoul (KOR)              ,15-Jan-20,2,1631
886,Vladlena Rogatkina               ,LN3,RUS,Chelyabinsk (RUS)        ,13-Feb-20,2,1631
888,Bianca van der Meer              ,LB2,NED,Heerenveen (NED)         ,3-Feb-20,2,1635
889,Irina Dukhnovskaya               ,LB1,RUS,Kolomna (RUS)            ,21-Feb-20,2,1636
890,Anna Molnar                      ,LA1,AUT,Inzell (GER)             ,10-Nov-19,2,1638
890,Judith van Duin                  ,LC1,NED,Heerenveen (NED)         ,16-Feb-20,2,1638
892,Ji-Yeon Kim (2004-03)            ,LB1,KOR,Seoul (KOR)              ,12-Dec-19,2,1639
893,Dina Shevkunova                  ,LB2,KAZ,Nur-Sultan (KAZ)         ,13-Mar-20,2,164
894,Mariya Lezhneva                  ,LN3,RUS,Chelyabinsk (RUS)        ,13-Feb-20,2,1643
894,Valeriya Kameneva                ,LB2,RUS,Kolomna (RUS)            ,21-Feb-20,2,1643
896,Alena Lifatova                   ,LB1,KAZ,Nur-Sultan (KAZ)         ,3-Mar-20,2,1645
897,Milena Shamoyan                  ,LC2,RUS,Moscow (RUS)             ,5-Nov-19,2,1646
897,Jasmijn Hiddink                  ,LC1,NED,Heerenveen (NED)         ,15-Dec-19,2,1646
897,Ingunn Kvernvold Myhre           ,LA2,NOR,Stavanger (NOR)          ,1-Feb-20,2,1646
897,Ekaterina Kazakova (2002)        ,LB2,RUS,Chelyabinsk (RUS)        ,11-Mar-20,2,1646
901,Lucy Mehnert                     ,LA1,GER,Inzell (GER)             ,10-Nov-19,2,1647
902,Zefina de Bruin                  ,LA1,NED,Heerenveen (NED)         ,16-Feb-20,2,1649
903,Galina Elkina                    ,LC2,RUS,Kolomna (RUS)            ,14-Dec-19,2,165
903,Anna Yurgens                     ,LB2,RUS,Kolomna (RUS)            ,21-Feb-20,2,165
905,Jet Fransen                      ,LC2,NED,Enschede (NED)           ,1-Feb-20,2,1651
905,Marcha Lich                      ,LB2,NED,Heerenveen (NED)         ,1-Mar-20,2,1651
907,Carlijn Kaaij                    ,LC1,NED,Heerenveen (NED)         ,2-Mar-20,2,1655
908,Polina Andreeva (2001)           ,LA1,RUS,Moscow (RUS)             ,5-Nov-19,2,1656
909,Bingbing Li                      ,LN1,CHN,Hailar (CHN)             ,27-Oct-19,2,1657
910,Jung-Min Yoon                    ,LN2,KOR,Seoul (KOR)              ,12-Dec-19,2,166
911,Angelina Polushkina              ,LB1,RUS,Chelyabinsk (RUS)        ,29-Nov-19,2,1661
912,Seung-Hyun Lee (2003)            ,LB1,KOR,Seoul (KOR)              ,8-Nov-19,2,1662
913,Sterre van Schaik                ,LC2,NED,Heerenveen (NED)         ,26-Oct-19,2,1663
914,Donna Noor Gemser                ,LC1,NED,Leeuwarden (NED)         ,22-Dec-19,2,1667
914,Konoka Fukazawa                  ,L? ,JPN,Obihiro (JPN)            ,22-Feb-20,2,1667
916,Kristina Soloveva                ,LB1,RUS,Kolomna (RUS)            ,21-Feb-20,2,1668
917,Maite van Komen                  ,LC2,NED,Heerenveen (NED)         ,16-Nov-19,2,167
918,Mo Su                            ,L? ,CHN,Changchun (CHN)          ,22-Sep-19,2,1673
918,Lara van Son                     ,LB1,NED,Heerenveen (NED)         ,8-Dec-19,2,1673
920,Esther Bouman                    ,L30,NED,Heerenveen (NED)         ,14-Dec-19,2,1674
921,Jiajing Lyu                      ,LB1,CHN,Changchun (CHN)          ,22-Sep-19,2,1675
921,Mimi Uchida                      ,L? ,JPN,Obihiro (JPN)            ,22-Feb-20,2,1675
923,Renske Winters                   ,L40,NED,Heerenveen (NED)         ,23-Nov-19,2,1676
924,Anastasiya Drozdova              ,LB2,RUS,Kolomna (RUS)            ,21-Feb-20,2,1682
925,Kseniya Nikitina                 ,LB1,RUS,Chelyabinsk (RUS)        ,29-Nov-19,2,1683
925,Ekaterina Chashhina              ,LB2,RUS,Chelyabinsk (RUS)        ,28-Jan-20,2,1683
927,Yuka Imai                        ,L? ,JPN,Karuizawa (JPN)          ,18-Jan-20,2,1684
928,Yuliya Chivilina                 ,LB2,RUS,Kolomna (RUS)            ,21-Feb-20,2,1686
929,Yuxuan Guan                      ,LB2,CHN,Hailar (CHN)             ,27-Oct-19,2,1687
929,Rearu Yamada                     ,L? ,JPN,Obihiro (JPN)            ,7-Dec-19,2,1687
929,Rina Kitazawa                    ,L? ,JPN,Obihiro (JPN)            ,22-Feb-20,2,1687
932,Alina Nurieva                    ,LC2,RUS,Kolomna (RUS)            ,24-Feb-20,2,1689
933,Audrey Steffes                   ,LB2,USA,Salt Lake City (USA)     ,7-Mar-20,2,1693
934,Willemijn Cnossen                ,LSA,NED,Heerenveen (NED)         ,29-Feb-20,2,1694
935,Annebet Dekker                   ,LA1,NED,Heerenveen (NED)         ,29-Sep-19,2,1696
936,Meike Hohenstein                 ,LC2,NED,Tilburg (NED)            ,27-Oct-19,2,1697
937,Ji-An Heo                        ,LYB,KOR,Seoul (KOR)              ,12-Dec-19,2,1698
938,Rachel Freitag                   ,LA2,CAN,Calgary (CAN)            ,21-Sep-19,2,1699
939,Seo-Hee Park                     ,LYA,KOR,Seoul (KOR)              ,17-Jan-20,2,17
939,Nuraj Rajkhan                    ,LB2,KAZ,Nur-Sultan (KAZ)         ,13-Feb-20,2,17
941,Claire Liew                      ,LB2,CAN,Calgary (CAN)            ,3-Jan-20,2,1701
942,Luisa Gonzalez Salazar           ,LB1,ESP,Heerenveen (NED)         ,8-Dec-19,2,1702
943,Alicia Sommer                    ,LC2,GER,Inzell (GER)             ,24-Nov-19,2,1703
943,Klaudia Lorenc                   ,LA2,POL,Tomaszów-Mazowiecki (POL),31-Jan-20,2,1703
945,Sanne van Heel                   ,LB2,NED,Nijmegen (NED)           ,8-Mar-20,2,1704
946,Yang Liu (2002)                  ,LB2,CHN,Hailar (CHN)             ,27-Oct-19,2,1705
947,Juliana Ebbens                   ,LB2,NED,Leeuwarden (NED)         ,26-Jan-20,2,171
947,Sofya Ivshina                    ,LC2,RUS,Kolomna (RUS)            ,7-Mar-20,2,171
949,Misaki Matsuda                   ,L? ,JPN,Obihiro (JPN)            ,8-Sep-19,2,1715
949,Marije Steneker                  ,LC2,NED,Heerenveen (NED)         ,29-Feb-20,2,1715
951,Xinyue Zou                       ,LC2,CHN,Changchun (CHN)          ,7-Dec-19,2,1717
952,Anastasiya Krajnova              ,LC2,RUS,Kolomna (RUS)            ,24-Feb-20,2,1719
952,Emma Fransen                     ,LB1,NED,Heerenveen (NED)         ,1-Mar-20,2,1719
954,Risa Hirashima                   ,L? ,JPN,Nagano (JPN)             ,7-Feb-20,2,1723
955,Haiping Xin                      ,LB1,CHN,Hailar (CHN)             ,27-Oct-19,2,1727
956,Svetlana Kalashnikova            ,LB1,RUS,Kolomna (RUS)            ,21-Feb-20,2,1729
957,Joanna Hajduk                    ,LN2,POL,Tomaszów-Mazowiecki (POL),27-Oct-19,2,173
958,Darya Gorbatenko                 ,LN3,RUS,Kolomna (RUS)            ,23-Oct-19,2,1734
959,Mengyuan Wang                    ,L? ,CHN,Harbin (CHN)             ,4-Jan-20,2,1735
960,Enlik Zhardembek                 ,LB1,KAZ,Nur-Sultan (KAZ)         ,13-Feb-20,2,1736
961,Mariya Mosyagina                 ,LC2,RUS,Kolomna (RUS)            ,14-Dec-19,2,1738
962,Caitlin Pelkey                   ,LA1,CAN,Calgary (CAN)            ,21-Sep-19,2,1741
962,Tilda-Sofiia Oras                ,LN2,FIN,Inzell (GER)             ,27-Oct-19,2,1741
964,Wenjie Dai                       ,L? ,CHN,Harbin (CHN)             ,4-Jan-20,2,1746
965,Amy Cornelissen                  ,LB2,NED,Heerenveen (NED)         ,24-Nov-19,2,1748
965,Jung-Soo Lim                     ,LSA,KOR,Seoul (KOR)              ,21-Feb-20,2,1748
967,Svetlana Ashmarina               ,LB2,RUS,Chelyabinsk (RUS)        ,28-Jan-20,2,1751
968,Inka Koivisto                    ,LA1,FIN,Inzell (GER)             ,6-Oct-19,2,1752
968,Irina Mikheeva                   ,LN3,RUS,Moscow (RUS)             ,16-Jan-20,2,1752
970,Xinyu Li                         ,L? ,CHN,Hailar (CHN)             ,27-Oct-19,2,1754
970,Noor Entius                      ,LC1,NED,Heerenveen (NED)         ,16-Nov-19,2,1754
972,Liset Speelman                   ,LB1,NED,Heerenveen (NED)         ,1-Mar-20,2,1755
973,Emmy Pordon                      ,LN2,NED,Heerenveen (NED)         ,8-Dec-19,2,1757
974,Aida Tashmukhambetova            ,LSA,KAZ,Nur-Sultan (KAZ)         ,14-Oct-19,2,1759
975,Rosanna Günther                  ,LC2,GER,Inzell (GER)             ,8-Dec-19,2,1762
975,Anna Kuprikova                   ,LC1,RUS,Kolomna (RUS)            ,24-Feb-20,2,1762
977,Natalya Turushkina               ,LB1,RUS,Irkutsk (RUS)            ,14-Dec-19,2,1764
978,Saki Juudo                       ,L? ,JPN,Obihiro (JPN)            ,7-Dec-19,2,1769
978,Vilde Semb                       ,LC1,NOR,Inzell (GER)             ,22-Dec-19,2,1769
978,Alina Salakhova                  ,LB2,RUS,Kolomna (RUS)            ,21-Feb-20,2,1769
981,Kristina Shik                    ,LB2,BLR,Minsk (BLR)              ,13-Mar-20,2,1772
982,Dziyana Antsipava                ,LB1,BLR,Minsk (BLR)              ,13-Mar-20,2,1775
983,Maud Beusen                      ,LB1,NED,Heerenveen (NED)         ,1-Mar-20,2,1777
984,Yongjiao Gao                     ,L? ,CHN,Harbin (CHN)             ,1-Dec-19,2,1779
985,Polina Petrunina                 ,LB1,RUS,Kolomna (RUS)            ,11-Jan-20,2,178
986,Lotte Bakker (2003)              ,LB1,NED,Heerenveen (NED)         ,1-Feb-20,2,1781
986,Mariya Marmysheva                ,LB2,RUS,Kolomna (RUS)            ,21-Feb-20,2,1781
986,Clarissa van Maaren              ,LSA,NED,Nijmegen (NED)           ,8-Mar-20,2,1781
989,Aleksandra Kluk                  ,LA2,POL,Tomaszów-Mazowiecki (POL),14-Dec-19,2,1785
989,Melanie Maas                     ,LN4,NED,Den Haag (NED)           ,23-Feb-20,2,1785
991,Arina Bagaeva                    ,LC2,RUS,Kolomna (RUS)            ,24-Feb-20,2,1788
992,Alina Volkoviczkaya              ,LN1,KAZ,Nur-Sultan (KAZ)         ,19-Dec-19,2,179
993,Imme Kampen                      ,L35,NED,Heerenveen (NED)         ,11-Mar-20,2,1797
994,Miyuu Miyashita                  ,L? ,JPN,Nagano (JPN)             ,7-Feb-20,2,1798
995,Arina German                     ,LB2,RUS,Minsk (BLR)              ,23-Aug-19,2,18
995,Ayu Noake                        ,L? ,JPN,Karuizawa (JPN)          ,11-Jan-20,2,18
997,Britt van de Put                 ,LC2,NED,Heerenveen (NED)         ,14-Oct-19,2,1802
997,Kyouka Shimizu                   ,L? ,JPN,Hachinohe-Nagane (JPN)   ,27-Oct-19,2,1802
997,Yayoi Sai                        ,L? ,JPN,Obihiro (JPN)            ,25-Jan-20,2,1802
997,Mischa Top                       ,L30,NED,Groningen (NED)          ,22-Feb-20,2,1802
997,Iris Smokers                     ,LN4,NED,Heerenveen (NED)         ,29-Feb-20,2,1802
1002,Emily Hohendorf                  ,LC2,GER,Inzell (GER)             ,29-Feb-20,2,1803
1003,Anastasiya Mosyugina             ,LB1,RUS,Kolomna (RUS)            ,21-Feb-20,2,1805
1004,Britt van Wees                   ,LA1,NED,Heerenveen (NED)         ,7-Dec-19,2,1806
1005,Mai Nagai                        ,L? ,JPN,Obihiro (JPN)            ,8-Sep-19,2,1807
1005,Corrieke Buffinga                ,LB2,NED,Enschede (NED)           ,5-Oct-19,2,1807
1005,Monique Boerema                  ,L55,NED,Salt Lake City (USA)     ,7-Mar-20,2,1807
1008,Yue Zhao                         ,L? ,CHN,Hailar (CHN)             ,27-Oct-19,2,1809
1009,Annemarie van der Wal            ,LN2,NED,Heerenveen (NED)         ,13-Oct-19,2,1811
1009,Janne Berkhout                   ,LC2,NED,Heerenveen (NED)         ,16-Nov-19,2,1811
1011,Hina Fujioka                     ,L? ,JPN,Nagano (JPN)             ,3-Feb-20,2,1813
1012,Alena Rybina                     ,LB1,RUS,Kolomna (RUS)            ,21-Feb-20,2,1816
1012,Mariya Shiryaeva                 ,LC2,RUS,Kolomna (RUS)            ,24-Feb-20,2,1816
1014,Min-Jo Kim                       ,LN2,KOR,Seoul (KOR)              ,19-Dec-19,2,1817
1014,Alina Blinova                    ,LC1,RUS,Kolomna (RUS)            ,7-Mar-20,2,1817
1016,Sophie van Delft                 ,LC2,NED,Heerenveen (NED)         ,1-Mar-20,2,1818
1017,Bibiane Werner                   ,LC2,GER,Inzell (GER)             ,24-Nov-19,2,1819
1017,Zhien Tai                        ,LYA,CHN,Harbin (CHN)             ,4-Jan-20,2,1819
1019,Andrea Dalstra                   ,LN3,NED,Groningen (NED)          ,1-Feb-20,2,182
1020,Lulin Wang                       ,LN1,CHN,Changchun (CHN)          ,22-Sep-19,2,1821
1020,Polina Andreeva (2004)           ,LC2,RUS,Kolomna (RUS)            ,24-Feb-20,2,1821
1022,Séverine Biermann                ,LA2,SUI,Inzell (GER)             ,10-Nov-19,2,1825
1023,Yana Otmakhova                   ,LB2,RUS,Kolomna (RUS)            ,21-Feb-20,2,1826
1024,Amber van der Meijden            ,LC1,NED,Enschede (NED)           ,1-Feb-20,2,1827
1024,Lyudmila Prokh                   ,LB1,KAZ,Nur-Sultan (KAZ)         ,3-Mar-20,2,1827
1026,Andrea de Jong (1991)            ,LSA,NED,Heerenveen (NED)         ,5-Oct-19,2,1828
1026,Ranju Tanaka                     ,L? ,JPN,Nagano (JPN)             ,3-Feb-20,2,1828
1026,Maaike van der Horst             ,LN2,NED,Heerenveen (NED)         ,29-Feb-20,2,1828
1029,Yoon-Seo Choi                    ,LB2,KOR,Seoul (KOR)              ,8-Nov-19,2,1829
1030,Robin van Leeuwen                ,LN4,NED,Helsinki (FIN)           ,30-Nov-19,2,1831
1031,Yuxin Duan (2001)                ,LA2,CHN,Hailar (CHN)             ,27-Oct-19,2,1834
1031,Milou Butter                     ,LA1,NED,Heerenveen (NED)         ,1-Mar-20,2,1834
1033,Hee-Jin Kim (2004)               ,LC2,KOR,Seoul (KOR)              ,15-Jan-20,2,1836
1034,Yao Wang                         ,LC2,CHN,Changchun (CHN)          ,1-Nov-19,2,1839
1035,Elanne de Vries                  ,LC1,NED,Den Haag (NED)           ,22-Dec-19,2,184
1036,Saffron Nijenhuis                ,LC2,NED,Leeuwarden (NED)         ,2-Jan-20,2,1841
1037,Zhongyu Chen                     ,L? ,CHN,Changchun (CHN)          ,22-Sep-19,2,1844
1038,Amelia Steć                      ,LC2,POL,Heerenveen (NED)         ,29-Feb-20,2,1847
1039,Tijn Borst                       ,LC1,NED,Heerenveen (NED)         ,9-Mar-20,2,1848
1040,Sharon Heesink                   ,LB1,NED,Enschede (NED)           ,21-Dec-19,2,1849
1040,Julia Bachl                      ,LB2,GER,Inzell (GER)             ,29-Feb-20,2,1849
1042,Saemi Tanaka                     ,LN2,JPN,Fujikyu (JPN)            ,5-Jan-20,2,185
1043,Zhiqiong Zhang                   ,LB1,CHN,Harbin (CHN)             ,2-Jan-20,2,1851
1044,Hilde Houtzager                  ,LB2,NED,Heerenveen (NED)         ,14-Dec-19,2,1853
1045,Alessandra Primavera             ,LA2,NED,Heerenveen (NED)         ,29-Feb-20,2,1854
1046,Ah-In Lee                        ,LC1,KOR,Seoul (KOR)              ,16-Oct-19,2,1855
1047,Elliot Ganas                     ,LA1,CAN,Calgary (CAN)            ,3-Jan-20,2,1856
1047,Viktoriya Soloveva               ,LB1,RUS,Chelyabinsk (RUS)        ,28-Jan-20,2,1856
1047,Imke Hüser                       ,L30,GER,Inzell (GER)             ,8-Feb-20,2,1856
1050,Ekaterina Kozlova (2003.05)      ,LB2,KAZ,Nur-Sultan (KAZ)         ,19-Dec-19,2,1858
1051,Heleen van der Hulst             ,LSA,NED,Den Haag (NED)           ,4-Jan-20,2,1861
1052,Julia de Vos                     ,LC1,NED,Heerenveen (NED)         ,14-Dec-19,2,1862
1053,Sini Siro                        ,LA1,FIN,Inzell (GER)             ,27-Oct-19,2,1864
1054,Alina Kozhemyakina               ,LA1,RUS,Chelyabinsk (RUS)        ,23-Jan-20,2,1867
1054,Sophie Rijnders                  ,LN2,NED,Heerenveen (NED)         ,2-Mar-20,2,1867
1056,Yeon-Woo Noh                     ,LC1,KOR,Calgary (CAN)            ,21-Sep-19,2,1868
1057,Michelle van den Hoek            ,LA1,NED,Haarlem (NED)            ,8-Dec-19,2,1869
1057,Natascha Lindenskov              ,LC2,DEN,Inzell (GER)             ,29-Dec-19,2,1869
1057,Seo-Bin Jun                      ,LYA,KOR,Seoul (KOR)              ,21-Feb-20,2,1869
1060,Valeriya Morozova                ,LA1,RUS,Chelyabinsk (RUS)        ,8-Oct-19,2,1871
1060,Shuo Chen                        ,LB2,CHN,Hailar (CHN)             ,27-Oct-19,2,1871
1060,Linda Gretter                    ,LN1,ITA,Collalbo (ITA)           ,8-Dec-19,2,1871
1060,Lianne van Gammeren              ,LC1,NED,Heerenveen (NED)         ,15-Feb-20,2,1871
1064,Elizaveta Pugacheva              ,LA1,RUS,Chelyabinsk (RUS)        ,11-Mar-20,2,1872
1065,Marloes Leistra                  ,LC2,NED,Heerenveen (NED)         ,29-Feb-20,2,1873
1066,Olivia Kattner                   ,LB1,GER,Inzell (GER)             ,10-Nov-19,2,1875
1066,Yuxi Zhang                       ,L? ,CHN,Harbin (CHN)             ,16-Nov-19,2,1875
1066,A-Reum Choi                      ,LB2,KOR,Seoul (KOR)              ,21-Feb-20,2,1875
1069,Tessa Oudman                     ,LN1,NED,Leeuwarden (NED)         ,22-Sep-19,2,1876
1069,Xi Chen                          ,LC2,CHN,Harbin (CHN)             ,2-Jan-20,2,1876
1071,Akane Tsuruta                    ,L? ,JPN,Nagano (JPN)             ,7-Feb-20,2,1878
1071,Vlada Bahdanava                  ,LC1,BLR,Minsk (BLR)              ,13-Mar-20,2,1878
1073,Darya Ryzhova                    ,LB2,KAZ,Nur-Sultan (KAZ)         ,3-Mar-20,2,188
1074,Xiaoying Liu                     ,L50,CHN,Calgary (CAN)            ,21-Sep-19,2,1882
1075,Polina Vinogradova               ,LB1,RUS,Moscow (RUS)             ,5-Nov-19,2,1884
1076,Na-Hyun Lee                      ,LC1,KOR,Seoul (KOR)              ,17-Jan-20,2,1885
1077,Madison Seely                    ,LB1,CAN,Calgary (CAN)            ,10-Nov-19,2,1892
1078,Giulia Presti                    ,LC2,ITA,Collalbo (ITA)           ,9-Feb-20,2,1895
1079,Sascha Schenk                    ,LB2,NED,Leeuwarden (NED)         ,17-Nov-19,2,1896
1080,Kseniya Matsesha                 ,LA2,BLR,Minsk (BLR)              ,23-Aug-19,2,1898
1081,Irina Balandina                  ,LN2,RUS,Kolomna (RUS)            ,23-Oct-19,2,1903
1082,Tess ten Dolle                   ,LB1,NED,Enschede (NED)           ,7-Mar-20,2,1904
1083,Sidney Bennie                    ,LC2,CAN,Fort Saint John (CAN)    ,15-Feb-20,2,1906
1084,Viktoriya Temnikova              ,LC2,RUS,Kolomna (RUS)            ,24-Feb-20,2,191
1085,Arina Tikhonova                  ,LA1,RUS,Moscow (RUS)             ,5-Nov-19,2,1914
1086,Milana Talybova                  ,LB1,RUS,Kolomna (RUS)            ,21-Feb-20,2,1916
1087,Maybritt Vigl                    ,LC2,ITA,Heerenveen (NED)         ,29-Feb-20,2,1918
1088,Zenna Koopman                    ,LA1,NED,Heerenveen (NED)         ,24-Feb-20,2,1919
1089,Mizuki Hara (2004-2)             ,L? ,JPN,Nagano (JPN)             ,7-Feb-20,2,1924
1090,Ilse van der Linde               ,LA1,NED,Heerenveen (NED)         ,18-Jan-20,2,1926
1091,Wieke Roemaat                    ,LB1,NED,Enschede (NED)           ,7-Mar-20,2,1928
1092,Charlotte Guillermin             ,LN3,FRA,Seoul (KOR)              ,21-Feb-20,2,193
1093,Aina Miyashita                   ,L? ,JPN,Obihiro (JPN)            ,18-Jan-20,2,1935
1094,Noor Schoonheijm                 ,LA1,NED,Heerenveen (NED)         ,6-Oct-19,2,1936
1095,Olga Kostyaeva                   ,LN4,RUS,Saint Petersburg (RUS)   ,13-Nov-19,2,1938
1095,Anzhela Sakhabutdinova           ,LB1,RUS,Kolomna (RUS)            ,21-Feb-20,2,1938
1097,Sylvie Lloyd                     ,LN4,CAN,Calgary (CAN)            ,10-Nov-19,2,1939
1098,Chiharu Samekawa                 ,L? ,JPN,Tomakomai (JPN)          ,30-Nov-19,2,1941
1098,Yua Tedzuka                      ,L? ,JPN,Obihiro (JPN)            ,18-Jan-20,2,1941
1098,Janneke Hennipman                ,LN3,NED,Heerenveen (NED)         ,16-Feb-20,2,1941
1098,Rienke Boonstra                  ,LN4,NED,Heerenveen (NED)         ,22-Feb-20,2,1941
1102,Patrycja Sobota                  ,LC2,POL,Tomaszów-Mazowiecki (POL),14-Dec-19,2,1942
1103,Changhan Sun                     ,L? ,CHN,Harbin (CHN)             ,4-Jan-20,2,1944
1104,Luiza Bezukladichnaya            ,LA1,RUS,Moscow (RUS)             ,5-Nov-19,2,1945
1105,Mijntje de Jong                  ,LC2,NED,Heerenveen (NED)         ,16-Nov-19,2,1946
1105,Shuoying Gao                     ,L? ,CHN,Harbin (CHN)             ,16-Nov-19,2,1946
1107,Viktoriya Shakhova               ,LA2,RUS,Moscow (RUS)             ,5-Nov-19,2,1947
1107,Ekaterina Kuzmenko               ,LN1,RUS,Saint Petersburg (RUS)   ,13-Nov-19,2,1947
1107,Stephanie Bunte                  ,LSA,NED,Leeuwarden (NED)         ,17-Nov-19,2,1947
1110,Darya Yudenkova                  ,LB1,RUS,Kolomna (RUS)            ,21-Feb-20,2,1951
1111,Imke Valkenburg                  ,LB2,NED,Heerenveen (NED)         ,9-Mar-20,2,1952
1112,Kristina Kakubava                ,LA2,RUS,Moscow (RUS)             ,5-Nov-19,2,1955
1113,Yuhan Lu                         ,LA1,CHN,Changchun (CHN)          ,1-Nov-19,2,1956
1114,Mariya Vecherenko                ,LC1,RUS,Kolomna (RUS)            ,24-Feb-20,2,1957
1115,Manon van de Vliert-Scholte      ,L45,NED,Heerenveen (NED)         ,2-Mar-20,2,1958
1116,Emma Koster                      ,LB1,NED,Heerenveen (NED)         ,24-Nov-19,2,196
1117,Olga Khareeva                    ,LB2,RUS,Chelyabinsk (RUS)        ,11-Dec-19,2,1961
1117,Sandra van Bijlert-Burgerhout    ,L40,NED,Heerenveen (NED)         ,11-Mar-20,2,1961
1119,Darya Cherdynceva                ,LC1,RUS,Chelyabinsk (RUS)        ,11-Dec-19,2,1963
1120,Liz Müller                       ,LB1,GER,Inzell (GER)             ,10-Nov-19,2,1964
1121,Lauren Teunissen                 ,LB1,NED,Heerenveen (NED)         ,27-Oct-19,2,1967
1122,Aleksandra Denisova              ,LA1,RUS,Moscow (RUS)             ,5-Nov-19,2,1971
1123,Tianjing Yu                      ,L? ,CHN,Harbin (CHN)             ,16-Nov-19,2,1972
1123,Soo-Yeon Lee (2004)              ,LB1,KOR,Seoul (KOR)              ,17-Jan-20,2,1972
1125,Akari Matsui                     ,L? ,JPN,Obihiro (JPN)            ,2-Nov-19,2,1977
1126,Darya Nepomnyashhikh             ,LC2,RUS,Kolomna (RUS)            ,24-Feb-20,2,1979
1127,Hana Fueki                       ,L? ,JPN,Nagano (JPN)             ,3-Feb-20,2,1984
1128,Karina Krylova                   ,LB2,RUS,Chelyabinsk (RUS)        ,11-Mar-20,2,1986
1129,Femke de Boer (2002)             ,LB2,NED,Heerenveen (NED)         ,21-Dec-19,2,1987
1130,Gwen Konter                      ,LB1,NED,Groningen (NED)          ,4-Jan-20,2,1988
1131,Rika Kanai                       ,L? ,JPN,Karuizawa (JPN)          ,18-Jan-20,2,199
1132,Ruizhu Bai                       ,L? ,CHN,Harbin (CHN)             ,4-Jan-20,2,1991
1133,Emily Tormen                     ,LC1,ITA,Collalbo (ITA)           ,9-Feb-20,2,1992
1134,Shelley Blaauw                   ,LC2,NED,Heerenveen (NED)         ,26-Oct-19,2,1994
1135,Aijia LI                         ,LYA,CHN,Harbin (CHN)             ,4-Jan-20,2,1995
1136,Evgeniya Kabachevskaya           ,LB1,RUS,Kolomna (RUS)            ,21-Feb-20,2,1996
1137,Jingziqian Wang                  ,LA1,CHN,Harbin (CHN)             ,2-Jan-20,2,1998
1137,Sofiya Taturevich                ,LC1,RUS,Kolomna (RUS)            ,24-Feb-20,2,1998
1139,Yuliya Kuzmenko                  ,LA1,RUS,Kolomna (RUS)            ,11-Oct-19,2,1999
1140,Yuina Sakagami (20081413)        ,L? ,JPN,Obihiro (JPN)            ,25-Jan-20,2,2002
1141,Yuika Ikeda                      ,L? ,JPN,Obihiro (JPN)            ,8-Sep-19,2,2005
1142,Ziqi Xia                         ,LC1,CHN,Beijing (CHN)            ,11-Oct-19,2,2007
1142,Stella Marie Junge               ,LC1,GER,Inzell (GER)             ,29-Feb-20,2,2007
1144,Mei Matsumoto                    ,LN3,JPN,Fujikyu (JPN)            ,18-Jan-20,2,2008
1145,Xiuxian Cui                      ,LB2,CHN,Harbin (CHN)             ,2-Jan-20,2,201
1146,Anastasiya Sarajkina             ,LB1,RUS,Kolomna (RUS)            ,5-Nov-19,2,2012
1147,Han-Ul Seo                       ,LYA,KOR,Seoul (KOR)              ,8-Nov-19,2,2017
