rank,name,age,country,track,date,minutes,seconds
68,Karolina Gąsecka                 ,LN1,POL,Calgary (CAN)            ,8-Feb-20,1,5954
69,Sanne in 't Hof                  ,LN3,NED,Inzell (GER)             ,13-Oct-19,1,5967
70,Mareike Thum                     ,LSA,GER,Salt Lake City (USA)     ,11-Feb-20,1,5975
71,Aveline Hijlkema                 ,LSA,NED,Heerenveen (NED)         ,1-Nov-19,1,5978
72,Robin Groot                      ,LA2,NED,Heerenveen (NED)         ,1-Nov-19,1,5986
73,Gioya Lancee                     ,LN2,NED,Heerenveen (NED)         ,27-Dec-19,1,5994
74,Yuka Abe                         ,LSA,JPN,Nagano (JPN)             ,27-Dec-19,1,5996
75,Paulien Verhaar                  ,LN1,NED,Heerenveen (NED)         ,21-Dec-19,2,11
76,Sumire Kikuchi                   ,LSA,JPN,Nagano (JPN)             ,27-Dec-19,2,3
77,Lindsey Kent                     ,LSA,CAN,Calgary (CAN)            ,10-Nov-19,2,32
78,Manouk van Tol                   ,LSA,NED,Heerenveen (NED)         ,1-Nov-19,2,42
79,Qishi Li                         ,LSA,CHN,Minsk (BLR)              ,16-Nov-19,2,49
80,Yang Zhou                        ,LSA,CHN,Calgary (CAN)            ,21-Sep-19,2,63
81,Marit Steunenberg                ,LN3,NED,Heerenveen (NED)         ,21-Dec-19,2,76
82,Sterre Jonkers                   ,LN2,NED,Heerenveen (NED)         ,26-Jan-20,2,85
83,Arisa Tsujimoto                  ,LSA,JPN,Nagano (JPN)             ,7-Feb-20,2,109
84,Nana Takahashi                   ,LSA,JPN,Nagano (JPN)             ,27-Dec-19,2,117
85,Muriël Meijer (1999)             ,LN2,NED,Heerenveen (NED)         ,26-Jan-20,2,134
86,Olga Graf                        ,L35,RUS,Kolomna (RUS)            ,23-Oct-19,2,159
87,Jutta Leerdam                    ,LN2,NED,Deventer (NED)           ,19-Oct-19,2,165
88,Gabrielle Jelonek                ,LA2,CAN,Calgary (CAN)            ,12-Oct-19,2,171
89,Aoyu Chen                        ,LC2,CHN,Calgary (CAN)            ,25-Aug-19,2,186
90,Yuanyuan Zhang                   ,LC2,CHN,Calgary (CAN)            ,25-Aug-19,2,189
91,Momoka Horikawa                  ,LB1,JPN,Obihiro (JPN)            ,25-Jan-20,2,201
92,Ruining Tian                     ,LN4,CHN,Calgary (CAN)            ,21-Sep-19,2,203
93,Myrthe de Boer                   ,LA1,NED,Heerenveen (NED)         ,28-Sep-19,2,212
94,Femke Beuling                    ,LN1,NED,Heerenveen (NED)         ,17-Nov-19,2,213
94,Anna Kovaleva                    ,LN1,BLR,Calgary (CAN)            ,8-Feb-20,2,213
96,Marieke Driesprong               ,LN1,NED,Inzell (GER)             ,16-Nov-19,2,216
97,Erin Jackson                     ,LSA,USA,Salt Lake City (USA)     ,7-Mar-20,2,219
98,Irina Kuznetsova (1998)          ,LN2,RUS,Chelyabinsk (RUS)        ,13-Feb-20,2,223
99,Moe Kitahara                     ,LN3,JPN,Nagano (JPN)             ,7-Feb-20,2,233
99,Merel Conijn                     ,LA1,NED,Minsk (BLR)              ,16-Feb-20,2,233
101,Josie Hofmann                    ,LN4,GER,Inzell (GER)             ,29-Feb-20,2,237
102,Ayuri Fukuoka                    ,LB2,JPN,Nagano (JPN)             ,18-Dec-19,2,243
103,Helga Drost                      ,LN2,NED,Inzell (GER)             ,13-Oct-19,2,247
104,Victoria Stirnemann              ,LA1,GER,Erfurt (GER)             ,31-Jan-20,2,251
105,Ellia Smeding                    ,LN3,GBR,Heerenveen (NED)         ,10-Jan-20,2,252
106,Evelien Vijn                     ,LB2,NED,Inzell (GER)             ,21-Dec-19,2,264
107,Nadja Wenger                     ,LSA,SUI,Salt Lake City (USA)     ,7-Mar-20,2,27
108,Jiarong Zhou                     ,LC2,CHN,Calgary (CAN)            ,25-Aug-19,2,271
109,Leila Meijer                     ,LA1,NED,Heerenveen (NED)         ,16-Feb-20,2,275
110,Maki Tsuji                       ,L35,JPN,Hachinohe-Nagane (JPN)   ,27-Oct-19,2,276
111,Binyu Yang                       ,LB2,CHN,Calgary (CAN)            ,21-Sep-19,2,278
111,Yang Song                        ,LSA,CHN,Hailar (CHN)             ,27-Oct-19,2,278
113,Lemi Williamson                  ,LN1,JPN,Nagano (JPN)             ,7-Feb-20,2,282
114,Roos Markus                      ,LA2,NED,Heerenveen (NED)         ,26-Jan-20,2,284
115,Saskia Alusalu                   ,LSA,EST,Inzell (GER)             ,20-Oct-19,2,286
116,Kristina Grumand                 ,LSA,RUS,Kolomna (RUS)            ,23-Oct-19,2,289
117,Chloé Hoogendoorn                ,LB1,NED,Heerenveen (NED)         ,29-Feb-20,2,292
118,Kim Talsma                       ,LA2,NED,Enschede (NED)           ,1-Feb-20,2,298
119,Tatsiana Mikhailava (1987)       ,L30,BLR,Kolomna (RUS)            ,23-Oct-19,2,313
120,Li Cheng                         ,LA2,CHN,Calgary (CAN)            ,21-Sep-19,2,315
121,Ekaterina Kosheleva              ,LN1,RUS,Moscow (RUS)             ,5-Mar-20,2,322
122,Yuna Yoshimura                   ,LN1,JPN,Hachinohe-Nagane (JPN)   ,16-Feb-20,2,326
123,Ahenar Adake                     ,LN2,CHN,Calgary (CAN)            ,14-Sep-19,2,327
124,Anna Bourgeois                   ,LN1,CAN,Calgary (CAN)            ,3-Jan-20,2,329
125,Dongxue Xi                       ,LN2,CHN,Salt Lake City (USA)     ,1-Sep-19,2,33
126,Natálie Kerschbaummayr           ,LN3,CZE,Inzell (GER)             ,10-Nov-19,2,339
127,Lea-Sophie Scholz                ,LN2,GER,Inzell (GER)             ,10-Nov-19,2,341
128,Dessie Weigel                    ,LSA,USA,Salt Lake City (USA)     ,7-Mar-20,2,343
129,Yulin Huang                      ,LB2,CHN,Calgary (CAN)            ,25-Aug-19,2,345
129,Elizaveta Agafoshina             ,LA2,RUS,Moscow (RUS)             ,5-Nov-19,2,345
131,Marrit Fledderus                 ,LA2,NED,Inzell (GER)             ,5-Jan-20,2,346
131,Suzuka Miyagawa                  ,LB2,JPN,Nagano (JPN)             ,7-Feb-20,2,346
133,Naomi van der Werf               ,LN2,NED,Heerenveen (NED)         ,1-Nov-19,2,347
134,Yoon-Ji Kim                      ,LB2,KOR,Calgary (CAN)            ,21-Sep-19,2,35
135,Ariane Smit                      ,LN4,NED,Heerenveen (NED)         ,26-Jan-20,2,351
136,Veronika Suslova                 ,LN3,RUS,Kolomna (RUS)            ,11-Oct-19,2,352
137,Giorgia Birkeland                ,LA1,USA,Salt Lake City (USA)     ,7-Mar-20,2,353
138,Bo-Reum Kim                      ,LSA,KOR,Seoul (KOR)              ,27-Dec-19,2,357
139,Maho Karai                       ,LN1,JPN,Hachinohe-Nagane (JPN)   ,16-Feb-20,2,358
140,Ekaterina Sloeva                 ,LN2,BLR,Minsk (BLR)              ,29-Feb-20,2,363
141,Bianca Stănică                   ,LN3,ROU,Inzell (GER)             ,8-Feb-20,2,364
142,Rio Yamada                       ,LN3,JPN,Hachinohe-Nagane (JPN)   ,27-Oct-19,2,365
143,Heather McLean                   ,LSA,CAN,Calgary (CAN)            ,20-Oct-19,2,373
144,Rin Kosaka                       ,LA1,JPN,Obihiro (JPN)            ,8-Sep-19,2,374
145,Eline Jansen (2002)              ,LA1,NED,Heerenveen (NED)         ,21-Dec-19,2,377
146,Hanna Nifantava                  ,LN1,BLR,Inzell (GER)             ,13-Oct-19,2,378
147,Laura Gomez                      ,LSA,COL,Salt Lake City (USA)     ,7-Mar-20,2,382
148,Yunyuan Li                       ,LSA,CHN,Hailar (CHN)             ,27-Oct-19,2,392
149,Yuuka Tomita                     ,L? ,JPN,Nagano (JPN)             ,27-Dec-19,2,394
150,Marte Bjerkreim Furnée           ,LA2,NOR,Heerenveen (NED)         ,1-Mar-20,2,396
151,Marie Sawajiri                   ,LN3,JPN,Obihiro (JPN)            ,17-Nov-19,2,397
152,Kanako Iijima                    ,LN3,JPN,Obihiro (JPN)            ,8-Sep-19,2,405
153,Yuka Takahashi                   ,LA1,JPN,Obihiro (JPN)            ,22-Feb-20,2,406
154,Ophélie Juneau                   ,LN1,CAN,Calgary (CAN)            ,3-Jan-20,2,407
154,Lilit Garibyan                   ,LB1,RUS,Kolomna (RUS)            ,21-Feb-20,2,407
156,Emelie Vogelsang                 ,LB1,GER,Heerenveen (NED)         ,29-Feb-20,2,411
157,Anna Chernova (1992)             ,LSA,RUS,Kolomna (RUS)            ,23-Oct-19,2,413
158,Akari Hori-Shimizu               ,LN2,JPN,Nagano (JPN)             ,7-Feb-20,2,414
158,Misaki Shinno                    ,LB1,JPN,Obihiro (JPN)            ,22-Feb-20,2,414
160,Bente Kerkhoff                   ,LA1,NED,Heerenveen (NED)         ,5-Oct-19,2,416
161,Xue Zhan                         ,LSA,CHN,Hailar (CHN)             ,27-Oct-19,2,419
162,Stien Vanhoutte                  ,LSA,BEL,Inzell (GER)             ,10-Nov-19,2,42
163,Anastasiya Grigoreva (2001)      ,LA2,RUS,Moscow (RUS)             ,5-Nov-19,2,422
164,Cho-Won Park                     ,LN4,KOR,Calgary (CAN)            ,21-Sep-19,2,423
165,Anna Ostlender                   ,LA1,GER,Inzell (GER)             ,29-Feb-20,2,426
166,Naomi Verkerk                    ,LN1,NED,Heerenveen (NED)         ,29-Sep-19,2,431
