rank,name,age,country,time,track,date
1,Miho Takagi                      ,LSA,JPN," 1.50,33",Calgary (CAN)            ,2/8/2020
2,Ireen Wüst                       ,L30,NED," 1.50,92",Salt Lake City (USA)     ,2/16/2020
3,Evgeniia Lalenkova               ,LSA,RUS," 1.51,13",Salt Lake City (USA)     ,2/16/2020
4,Elizaveta Kazelina               ,LN4,RUS," 1.51,41",Salt Lake City (USA)     ,2/16/2020
5,Ivanie Blondin                   ,L30,CAN," 1.51,76",Calgary (CAN)            ,2/8/2020
6,Melissa Wijfje                   ,LSA,NED," 1.51,78",Salt Lake City (USA)     ,2/16/2020
7,Yekaterina Shikhova              ,L35,RUS," 1.52,07",Salt Lake City (USA)     ,2/16/2020
8,Nana Takagi                      ,LSA,JPN," 1.52,72",Salt Lake City (USA)     ,2/16/2020
9,Nao Kodaira                      ,L30,JPN," 1.52,82",Salt Lake City (USA)     ,2/16/2020
10,Joy Beune                        ,LN2,NED," 1.53,11",Salt Lake City (USA)     ,2/16/2020
11,Natalia Czerwonka                ,L30,POL," 1.53,56",Salt Lake City (USA)     ,2/16/2020
12,Antoinette de Jong               ,LSA,NED," 1.53,67",Calgary (CAN)            ,2/8/2020
13,Roxane Dufter                    ,LSA,GER," 1.53,96",Salt Lake City (USA)     ,2/16/2020
14,Francesca Lollobrigida           ,LSA,ITA," 1.54,13",Salt Lake City (USA)     ,2/16/2020
15,Brittany Bowe                    ,L30,USA," 1.54,20",Salt Lake City (USA)     ,2/16/2020
16,Jorien ter Mors                  ,L30,NED," 1.54,22",Heerenveen (NED)         ,11/1/2019
17,Nikola Zdráhalová                ,LSA,CZE," 1.54,24",Salt Lake City (USA)     ,2/16/2020
18,Isabelle Weidemann               ,LSA,CAN," 1.54,32",Salt Lake City (USA)     ,2/16/2020
19,Xin Zhao (1992)                  ,LSA,CHN," 1.54,49",Salt Lake City (USA)     ,2/16/2020
20,Martina Sáblíková                ,L30,CZE," 1.54,51",Calgary (CAN)            ,2/8/2020
21,Ayano Sato                       ,LN4,JPN," 1.54,63",Calgary (CAN)            ,2/8/2020
