2019-2020 500m Ladies

   68	Elizaveta Kazelina                   	LN4	RUS	   38,86	Hamar (NOR)              	29 Feb 2020
   69	Ivanie Blondin                       	L30	CAN	   38,90	Calgary (CAN)            	5 Jan 2020
   70	Esmé Stollenga                       	LSA	NED	   38,91	Heerenveen (NED)         	26 Jan 2020
   71	Yukari Matsuzawa                     	LSA	JPN	   38,93	Obihiro (JPN)            	3 Nov 2019
   72	Ayano Sato                           	LN4	JPN	   38,99	Hamar (NOR)              	29 Feb 2020
   73	Ida Njåtun                           	LSA	NOR	   39,02	Calgary (CAN)            	8 Feb 2020
   74	Lina Zhang                           	LN3	CHN	   39,04	Calgary (CAN)            	22 Sep 2019
   74	Kristina Silaeva                     	LN1	RUS	   39,04	Kolomna (RUS)            	31 Oct 2019
   76	Xiaoxuan Shi                         	LN4	CHN	   39,06	Hailar (CHN)             	25 Oct 2019
   76	Rino Kato                            	LN3	JPN	   39,06	Nagano (JPN)             	9 Feb 2020
   78	Moniek Klijnstra                     	LSA	NED	   39,07	Heerenveen (NED)         	2 Nov 2019
   79	Béatrice Lamarche                    	LN2	CAN	   39,09	Calgary (CAN)            	18 Oct 2019
   79	Abigail McCluskey                    	LN4	CAN	   39,09	Calgary (CAN)            	3 Jan 2020
   81	Naomi Verkerk                        	LN1	NED	   39,14	Heerenveen (NED)         	26 Jan 2020
   82	Isabel Grevelt                       	LA1	NED	   39,16	Heerenveen (NED)         	2 Nov 2019
   83	Katja Franzen                        	L30	GER	   39,24	Inzell (GER)             	2 Nov 2019
   83	Yvonne Daldossi                      	LSA	ITA	   39,24	Inzell (GER)             	29 Feb 2020
   85	Francesca Lollobrigida               	LSA	ITA	   39,28	Heerenveen (NED)         	2 Nov 2019
   86	Evgeniia Lalenkova                   	LSA	RUS	   39,29	Hamar (NOR)              	29 Feb 2020
   87	Dan Li (1994)                        	LSA	CHN	   39,33	Calgary (CAN)            	7 Sep 2019
   87	Alexa Scott                          	LA2	CAN	   39,33	Milwaukee (USA)          	31 Jan 2020
   87	Min-Ji Kim (2000)                    	LN1	KOR	   39,33	Calgary (CAN)            	8 Feb 2020
   90	Xue Zhan                             	LSA	CHN	   39,36	Calgary (CAN)            	20 Sep 2019
   91	Tessa Boogaard                       	LSA	NED	   39,39	Heerenveen (NED)         	26 Jan 2020
   92	Maddison Pearman                     	LSA	CAN	   39,40	Calgary (CAN)            	18 Oct 2019
   93	Tiange Hai                           	LA2	CHN	   39,41	Calgary (CAN)            	20 Sep 2019
   93	Marijke Groenewoud                   	LN2	NED	   39,41	Heerenveen (NED)         	22 Feb 2020
   95	Mihaela Hogaş                        	LN2	ROU	   39,43	Nur-Sultan (KAZ)         	7 Dec 2019
   95	Anastasiya Demidova                  	LN3	RUS	   39,43	Kolomna (RUS)            	11 Jan 2020
   95	Joy Beune                            	LN2	NED	   39,43	Heerenveen (NED)         	25 Jan 2020
   98	Robin Groot                          	LA2	NED	   39,44	Enschede (NED)           	1 Feb 2020
   99	Nene Sakai                           	LSA	JPN	   39,45	Calgary (CAN)            	1 Feb 2020
  100	Qi Yin                               	LSA	CHN	   39,48	Hamar (NOR)              	29 Feb 2020
  101	Sumire Kikuchi                       	LSA	JPN	   39,49	Obihiro (JPN)            	3 Nov 2019
  102	Alexandra Ianculescu                 	LSA	ROU	   39,51	Salt Lake City (USA)     	6 Mar 2020
